orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[23],pad_fpga_io[23],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[24],pad_fpga_io[24],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[24],pad_fpga_io[24],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[25],pad_fpga_io[25],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[25],pad_fpga_io[25],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[26],pad_fpga_io[26],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[26],pad_fpga_io[26],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[27],pad_fpga_io[27],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[27],pad_fpga_io[27],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[28],pad_fpga_io[28],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[28],pad_fpga_io[28],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[29],pad_fpga_io[29],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[29],pad_fpga_io[29],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[30],pad_fpga_io[30],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[30],pad_fpga_io[30],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[31],pad_fpga_io[31],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[31],pad_fpga_io[31],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[32],pad_fpga_io[32],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[32],pad_fpga_io[32],out,,
